Gender,Cancer,Stage,Age group,No
Male,Colon & rectum,Stage III,50-59 years,362.567
Male,Colon & rectum,Stage III,60-69 years,641.63
Male,Colon & rectum,Stage III,70-79 years,471.85900000000004
Male,Colon & rectum,Stage III,80+ years,260.64300000000003
Male,Colon & rectum,Stage IV,0-29 years,7.967
Male,Colon & rectum,Stage IV,30-39 years,23.644000000000002
Male,Colon & rectum,Stage IV,40-49 years,89.693
Male,Colon & rectum,Stage IV,50-59 years,303.517
Male,Colon & rectum,Stage IV,60-69 years,537.13
Male,Colon & rectum,Stage IV,70-79 years,395.009
Male,Colon & rectum,Stage IV,80+ years,218.193
Male,Kidney,Stage I,30-39 years,17.106972972972972
Male,Kidney,Stage I,40-49 years,69.67962162162164
Male,Kidney,Stage I,50-59 years,142.6971891891892
Male,Kidney,Stage I,60-69 years,200.27675675675675
Male,Kidney,Stage I,70-79 years,126.00745945945947
Male,Kidney,Stage II,30-39 years,4.736608108108109
Male,Kidney,Stage II,40-49 years,19.293013513513515
Male,Kidney,Stage II,50-59 years,39.510243243243245
Male,Kidney,Stage II,60-69 years,55.45297297297297
Male,Kidney,Stage II,70-79 years,34.889162162162165
Male,Kidney,Stage III,30-39 years,7.679743243243243
Male,Kidney,Stage III,40-49 years,31.280905405405406
Male,Kidney,Stage III,50-59 years,64.0602972972973
Male,Kidney,Stage III,60-69 years,89.90918918918918
Male,Kidney,Stage III,70-79 years,56.56786486486486
Male,Kidney,Stage IV,30-39 years,16.509148648648647
Male,Kidney,Stage IV,40-49 years,67.24458108108108
Male,Kidney,Stage IV,50-59 years,137.71045945945946
Male,Kidney,Stage IV,60-69 years,193.27783783783784
Male,Kidney,Stage IV,70-79 years,121.60397297297297
Male,Liver,Stage I,40-49 years,45.55889514066496
Male,Liver,Stage I,50-59 years,182.59431202046034
Male,Liver,Stage I,60-69 years,333.97898721227625
Male,Liver,Stage I,70-79 years,273.7121023017903
Male,Liver,Stage I,80+ years,146.00370332480819
Male,Liver,Stage II,40-49 years,17.532496163682865
Male,Liver,Stage II,50-59 years,70.2680358056266
Male,Liver,Stage II,60-69 years,128.52562148337597
Male,Liver,Stage II,70-79 years,105.33302813299234
Male,Liver,Stage II,80+ years,56.18681841432225
Male,Liver,Stage III,40-49 years,34.80904347826087
Male,Liver,Stage III,50-59 years,139.51026086956523
Male,Liver,Stage III,60-69 years,255.17495652173918
Male,Liver,Stage III,70-79 years,209.12834782608698
Male,Liver,Stage III,80+ years,111.55339130434784
Male,Liver,Stage IV,40-49 years,30.07398976982097
Male,Liver,Stage IV,50-59 years,120.53276214833758
Male,Liver,Stage IV,60-69 years,220.46365728900258
Male,Liver,Stage IV,70-79 years,180.68074168797955
Male,Liver,Stage IV,80+ years,96.37884910485934
Male,Lung,Stage I,30-39 years,4.356285151634502
Male,Lung,Stage I,40-49 years,23.82343442300118
Male,Lung,Stage I,50-59 years,97.06347853485623
Male,Lung,Stage I,60-69 years,209.78235683339898
Male,Lung,Stage I,70-79 years,223.3957479322568
Male,Lung,Stage I,80+ years,132.8666971248523
Male,Lung,Stage II,30-39 years,1.8898589996061441
Male,Lung,Stage II,40-49 years,10.335166404096102
Male,Lung,Stage II,50-59 years,42.108420834974396
Male,Lung,Stage II,60-69 years,91.00852244978337
Male,Lung,Stage II,70-79 years,96.91433182355257
Male,Lung,Stage II,80+ years,57.64069948798739
Male,Lung,Stage III,30-39 years,5.701608507286333
Male,Lung,Stage III,40-49 years,31.180671524222134
Male,Lung,Stage III,50-59 years,127.0389645529736
Male,Lung,Stage III,60-69 years,274.5680846790075
Male,Lung,Stage III,70-79 years,292.38561126427726
Male,Lung,Stage III,80+ years,173.89905947223315
Male,Lung,Stage IV,30-39 years,20.08375580937377
Male,Lung,Stage IV,40-49 years,109.83303958251281
Male,Lung,Stage IV,50-59 years,447.4911841276093
Male,Lung,Stage IV,60-69 years,967.1583656951556
Male,Lung,Stage IV,70-79 years,1029.9201025994487
